company,female,male,white,asian,latino,black,multi,other,undeclared,employees
U.S. Population,50.79,49.21,0.64,0.04,0.16,0.12,0.01,0.03,0,320051000
Facebook,33,67,53,38,4,2,3,0,0,10082
Instagram,31,69,57,34,4,2,3,0,0,9
Google+,30,70,60,31,3,2,3,1,0,0
YouTube,30,70,61,30,3,2,4,1,0,0
LinkedIn,42,58,56,37,4,2,1,1,0,7600
Pinterest,40,60,50,42,2,1,0,5,0,300
Tumblr,37,62,50,39,4,2,2,2,1,298
Flickr,37,62,50,39,4,2,2,2,1,0
Twitter,34,56,59,29,3,2,3,4,0,3600
Yahoo!,37,62,47,43,4,2,2,3,0,12300
Google,31,69,59,32,3,2,3,1,0,55419
Apple,32,68,56,19,12,9,2,1,2,80000
Cisco,23,77,54,0,0,0,0,0,0,78000
eBay,43,57,60,25,5,8,1,1,0,34600
HP,33,67,72,6,14,7,1,1,0,317500
Indiegogo,45,55,64,23,8,2,0,3,0,100
Nvidia,16,84,38,44,3,1,14,1,0,8800
Dell,30,70,69,9,11,10,0,1,0,111300
Ingram Micro,42,58,63,11,16,10,0,0,0,1200
Intel,25,75,61,26,9,4,0,1,0,107600
Groupon,47,53,71,15,5,4,0,4,0,10000
Amazon,37,63,60,13,9,15,0,3,0,88400
Etsy ,51,49,79,11,4,3,3,0,0,0
Microsoft,28,72,59,29,5,4,1,1,0,128000
Salesforce,29,71,67,22,4,2,2,3,0,0
Pandora,49,51,71,12,7,3,6,1,0,0
Uber,36,64,50,31,6,9,4,1,0,0
total average,35,64,59,26,6,4,2,2,0,0
DiversityInc top 50,54,46,68,10,10,12,0,0,0,0
Fortune 500 CEOs,5,95,83,2,2,1,0,0,0,0
Kaiser Permanente,76,24,48,20,18,13,0,0,0,0
US Congress,19,81,80,6,6,8,0,0,0,0
Venture Capitalists,11,89,87,9,2,2,2,0,0,0